latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.862915,-87.64877,179.0,-21600,America/Chicago,CST

time,temperature_2m_mean (°C)
2020-04-01,3.8
2020-04-02,4.5
2020-04-03,10.0
2020-04-04,5.1
2020-04-05,3.2
2020-04-06,8.0
2020-04-07,16.9
2020-04-08,8.8
2020-04-09,5.6
2020-04-10,3.9
2020-04-11,9.9
2020-04-12,12.6
2020-04-13,4.6
2020-04-14,1.1
2020-04-15,0.3
2020-04-16,2.4
2020-04-17,1.6
2020-04-18,6.9
2020-04-19,7.6
2020-04-20,9.0
2020-04-21,5.3
2020-04-22,8.0
2020-04-23,8.3
2020-04-24,5.5
2020-04-25,5.9
2020-04-26,7.2
2020-04-27,11.1
2020-04-28,15.3
2020-04-29,10.9
2020-04-30,6.7
